Year,Units,Կատեգորիա,Գտնվելու վայրը,Value
2022,%,,,98.8
2022,%,,քաղաք,99.9
2022,%,,գյուղ,96.6
2023,%,,,98.6
2023,%,,քաղաք,99.6
2023,%,,գյուղ,97.2
2024,%,,,98.7
2024,%,,քաղաք,99.5
2024,%,,գյուղ,100.0
