Year,Units,Value
2015,"100,000 կենդանածնի հաշվով",16.8
2016,"100,000 կենդանածնի հաշվով",29.6
2017,"100,000 կենդանածնի հաշվով",8.0
2018,"100,000 կենդանածնի հաշվով",21.9
2019,"100,000 կենդանածնի հաշվով",33.3
2020,"100,000 կենդանածնի հաշվով",22.0
2021,"100,000 կենդանածնի հաշվով",43.7
2022,"100,000 կենդանածնի հաշվով",22.0
2023,"100,000 կենդանածնի հաշվով",10.9
2024,"100,000 կենդանածնի հաշվով",1.1
