Year,Indicator,Units,Value
2000,Mountain Green Cover Index,%,95.05
2005,Mountain Green Cover Index,%,94.66
2010,Mountain Green Cover Index,%,94.53
2015,Mountain Green Cover Index,%,94.33
2018,Mountain Green Cover Index,%,94.13
2021,Mountain Green Cover Index,%,94.0
2015,Proportion of degraded mountain land,%,3.4
2021,Proportion of degraded mountain land,%,5.4
