Year,Value,Units
2015,3.1,%
2016,-3.3,%
2017,4.1,%
2018,2.3,%
2019,1.9,%
2020,0.3,%
2021,11.2,%
2022,13.0,%
2023,-0.5,%
2024,-2.0,%
