Year,Value,Units,Series
1993,1,"yes=1, no=0",a1. Convention on Biological Diversity (CBD)
2010,1,"yes=1, no=0",a2. Implementation of national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020
2015,1,"yes=1, no=0",b. SEEA Water accounts
