Year,Value,Units
2015,43.33,mln. USD
2016,38.13,mln. USD
2017,91.09,mln. USD
2018,71.29,mln. USD
2019,7.03,mln. USD
2020,12.6,mln. USD
2021,19.01,mln. USD
2022,23.64,mln. USD
2023,23.38,mln. USD
